model,model name in scikit learn,how it works,tasks best at,linearity,target type,interpretability,handles nonlinearity well,good for dataset size,robust to outliers,common evaluation metrics
ARDRegression,sklearn.linear_model.ARDRegression,Bayesian linear regression with per-feature relevance shrinkage.,sparse linear regression with automatic relevance determination,linear,continuous,high,no,all,no,RMSE; MAE; R²
BayesianRidge,sklearn.linear_model.BayesianRidge,Bayesian linear regression with Gaussian-prior shrinkage.,regularized linear prediction with uncertainty-aware coefficients,linear,continuous,high,no,all,no,RMSE; MAE; R²
ElasticNet,sklearn.linear_model.ElasticNet,Linear regression with combined L1 and L2 regularization.,correlated predictors plus sparsity,linear,continuous,high,no,all / large-friendly,no,RMSE; MAE; R²
ElasticNetCV,sklearn.linear_model.ElasticNetCV,Elastic Net with built-in cross-validation for penalty tuning.,Elastic Net when you want internal tuning,linear,continuous,high,no,all / large-friendly,no,RMSE; MAE; R²
GammaRegressor,sklearn.linear_model.GammaRegressor,Generalized linear model for positive continuous targets with Gamma noise.,positive right-skewed targets such as costs or durations,linear,continuous,high,no,all,no,mean Gamma deviance; MAE; RMSE; D²
HuberRegressor,sklearn.linear_model.HuberRegressor,Linear regression with Huber loss to reduce the impact of outliers.,linear regression with moderate outliers,linear,continuous,high,no,all,yes,RMSE; MAE; R²
Lars,sklearn.linear_model.Lars,Least-angle algorithm that adds predictors along the strongest residual-correlation path.,high-dimensional sparse problems with a full coefficient path,linear,continuous,high,no,small-medium,no,RMSE; MAE; R²
LarsCV,sklearn.linear_model.LarsCV,LARS with cross-validation to choose the best model along the path.,same as Lars with built-in model-size selection,linear,continuous,high,no,small-medium,no,RMSE; MAE; R²
Lasso,sklearn.linear_model.Lasso,Linear regression with L1 shrinkage that can zero out coefficients.,feature selection; sparse linear models; interpretability,linear,continuous,high,no,all / large-friendly,no,RMSE; MAE; R²
LassoCV,sklearn.linear_model.LassoCV,Lasso with built-in cross-validation to choose the L1 penalty.,sparse linear models with built-in penalty selection,linear,continuous,high,no,all / large-friendly,no,RMSE; MAE; R²
LassoLars,sklearn.linear_model.LassoLars,Lasso solved with the least-angle regression path algorithm.,sparse high-dimensional regression using the LARS path,linear,continuous,high,no,small-medium,no,RMSE; MAE; R²
LassoLarsCV,sklearn.linear_model.LassoLarsCV,LassoLars with built-in cross-validation.,LassoLars with internal tuning,linear,continuous,high,no,small-medium,no,RMSE; MAE; R²
LassoLarsIC,sklearn.linear_model.LassoLarsIC,LassoLars selecting model size with AIC or BIC.,fast sparse regression when AIC/BIC model choice is desired,linear,continuous,high,no,small-medium,no,RMSE; MAE; R²
LinearRegression,sklearn.linear_model.LinearRegression,Fits coefficients by minimizing squared error in a linear model.,baseline linear regression; coefficient interpretation; quick benchmark,linear,continuous,high,no,all / large-friendly,no,RMSE; MAE; R²
LogisticRegression,sklearn.linear_model.LogisticRegression,Linear classifier using the logistic link to model class probabilities.,strong linear baseline for binary or multiclass classification,linear,binary / multiclass,high,no,all / large-friendly,no,accuracy; macro F1; ROC-AUC / PR-AUC
LogisticRegressionCV,sklearn.linear_model.LogisticRegressionCV,Logistic regression with built-in cross-validation for C and penalty choices.,logistic classification with internal hyperparameter tuning,linear,binary / multiclass,high,no,all / large-friendly,no,accuracy; macro F1; ROC-AUC / PR-AUC
MultiTaskElasticNet,sklearn.linear_model.MultiTaskElasticNet,Joint multioutput linear regression with L1/L2 regularization.,shared multioutput structure with correlated predictors,linear,continuous / multioutput,low,yes,all,no,RMSE; MAE; R²
MultiTaskElasticNetCV,sklearn.linear_model.MultiTaskElasticNetCV,MultiTaskElasticNet with built-in cross-validation.,same as MultiTaskElasticNet with built-in tuning,linear,continuous / multioutput,low,yes,all,no,RMSE; MAE; R²
MultiTaskLasso,sklearn.linear_model.MultiTaskLasso,Joint sparse linear regression across multiple continuous targets.,shared sparse structure across several continuous outcomes,linear,continuous / multioutput,low,yes,all,no,RMSE; MAE; R²
MultiTaskLassoCV,sklearn.linear_model.MultiTaskLassoCV,MultiTaskLasso with built-in cross-validation.,same as MultiTaskLasso with built-in tuning,linear,continuous / multioutput,low,yes,all,no,RMSE; MAE; R²
OrthogonalMatchingPursuit,sklearn.linear_model.OrthogonalMatchingPursuit,Greedy sparse linear regression selecting one predictor at a time.,very sparse signal recovery and compressed-sensing-style problems,linear,continuous,high,no,small-medium,no,RMSE; MAE; R²
OrthogonalMatchingPursuitCV,sklearn.linear_model.OrthogonalMatchingPursuitCV,OMP with cross-validation to choose sparsity level.,OMP with automatic sparsity selection,linear,continuous,high,no,small-medium,no,RMSE; MAE; R²
PoissonRegressor,sklearn.linear_model.PoissonRegressor,Generalized linear model for count targets with a Poisson distribution.,count outcomes such as events or visits,linear,continuous,high,no,all,no,mean Poisson deviance; MAE; RMSE; D²
QuantileRegressor,sklearn.linear_model.QuantileRegressor,Linear model fitted to a chosen conditional quantile using pinball loss.,"conditional quantiles, asymmetric loss, and prediction-interval work",linear,continuous,high,no,all,no,pinball loss; MAE; RMSE
RANSACRegressor,sklearn.linear_model.RANSACRegressor,Repeatedly fits on random subsets and keeps the model with the best inlier set.,heavy contamination by gross outliers,linear,continuous,medium,limited,all,yes,RMSE; MAE; R²
Ridge,sklearn.linear_model.Ridge,Linear regression with L2 shrinkage to stabilize coefficients.,collinear features; stable linear prediction; regularized baseline,linear,continuous,high,no,all / large-friendly,no,RMSE; MAE; R²
RidgeCV,sklearn.linear_model.RidgeCV,Ridge regression with built-in cross-validation over regularization strength.,same as Ridge when you want built-in alpha selection,linear,continuous,high,no,all / large-friendly,no,RMSE; MAE; R²
RidgeClassifier,sklearn.linear_model.RidgeClassifier,Classifier based on ridge-regularized linear decision functions.,fast linear classification in high-dimensional settings,linear,binary / multiclass,high,no,all / large-friendly,no,accuracy; macro F1; ROC-AUC / PR-AUC
RidgeClassifierCV,sklearn.linear_model.RidgeClassifierCV,RidgeClassifier with built-in cross-validation.,same as RidgeClassifier with built-in tuning,linear,binary / multiclass,high,no,all / large-friendly,no,accuracy; macro F1; ROC-AUC / PR-AUC
TheilSenRegressor,sklearn.linear_model.TheilSenRegressor,Robust linear regression using medians across many subsample fits.,robust linear fits on small-to-medium datasets with outliers,linear,continuous,high,limited,all,yes,RMSE; MAE; R²
TweedieRegressor,sklearn.linear_model.TweedieRegressor,Generalized linear model for the Tweedie family of target distributions.,positive or zero-inflated targets that match the Tweedie family,linear,continuous,high,no,all,no,mean Tweedie deviance; MAE; RMSE; D²
LinearDiscriminantAnalysis,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,"Models each class as Gaussian with shared covariance, yielding linear boundaries.",small-to-medium classification with roughly Gaussian classes and linear separation,linear,binary / multiclass,high,no,all,somewhat,accuracy; macro F1; ROC-AUC / PR-AUC
QuadraticDiscriminantAnalysis,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,"Models each class as Gaussian with class-specific covariance, yielding quadratic boundaries.",class problems with quadratic boundaries and class-specific covariance,nonlinear,binary / multiclass,medium,limited,small-medium,somewhat,accuracy; macro F1; ROC-AUC / PR-AUC
KernelRidge,sklearn.kernel_ridge.KernelRidge,Ridge regression in a kernel-defined feature space for smooth nonlinear fits.,smooth nonlinear regression on small-to-medium tabular datasets,nonlinear,continuous,low,yes,small-medium,no,RMSE; MAE; R²
LinearSVC,sklearn.svm.LinearSVC,Linear support vector classifier optimized for larger datasets.,large sparse or high-dimensional linear classification,linear,binary / multiclass,high,no,all / large-friendly,no,accuracy; macro F1; ROC-AUC / PR-AUC
LinearSVR,sklearn.svm.LinearSVR,Linear support vector regression for larger linear problems.,large-scale linear regression with margin-based loss,linear,continuous,low,no,all / large-friendly,somewhat,RMSE; MAE; R²
NuSVC,sklearn.svm.NuSVC,Kernel SVM classifier using nu to control support vectors and margin errors.,same as SVC when nu is a more convenient control parameter,nonlinear,binary / multiclass,low,yes,small-medium,somewhat,accuracy; macro F1; ROC-AUC / PR-AUC
NuSVR,sklearn.svm.NuSVR,SVR variant using nu to control support vectors and margin errors.,same as SVR when nu is a more convenient control parameter,nonlinear,continuous,low,yes,small-medium,somewhat,RMSE; MAE; R²
SVC,sklearn.svm.SVC,Margin-maximizing classifier using kernels for nonlinear boundaries.,accurate nonlinear classification on small-to-medium datasets,nonlinear,binary / multiclass,low,yes,small-medium,somewhat,accuracy; macro F1; ROC-AUC / PR-AUC
SVR,sklearn.svm.SVR,Support vector regression using an epsilon-insensitive loss and optional kernels.,nonlinear regression on small-to-medium datasets,nonlinear,continuous,low,yes,small-medium,somewhat,RMSE; MAE; R²
PassiveAggressiveClassifier,sklearn.linear_model.PassiveAggressiveClassifier,Online linear classifier that updates only when the current margin is violated.,online large-scale classification with fast updates,linear,binary / multiclass,medium,no,all / large-friendly,somewhat,accuracy; macro F1; ROC-AUC / PR-AUC
PassiveAggressiveRegressor,sklearn.linear_model.PassiveAggressiveRegressor,Online linear regressor that updates aggressively on large errors.,online large-scale regression with fast updates,linear,continuous,medium,no,all / large-friendly,somewhat,RMSE; MAE; R²
Perceptron,sklearn.linear_model.Perceptron,Online linear classifier using perceptron updates.,simple online linear classification baseline,linear,binary / multiclass,medium,no,all / large-friendly,no,accuracy; macro F1; ROC-AUC / PR-AUC
SGDClassifier,sklearn.linear_model.SGDClassifier,Linear classifier trained with stochastic gradient updates one batch at a time.,very large datasets; sparse text; online learning,linear,binary / multiclass,medium,no,all / large-friendly,no,accuracy; macro F1; ROC-AUC / PR-AUC
SGDRegressor,sklearn.linear_model.SGDRegressor,Linear regressor trained with stochastic gradient updates.,very large linear regression problems and streaming settings,linear,continuous,medium,no,all / large-friendly,no,RMSE; MAE; R²
KNeighborsClassifier,sklearn.neighbors.KNeighborsClassifier,Classifies from the labels of the nearest training examples.,local nonlinear classification in low-to-moderate dimensions,nonlinear,binary / multiclass,medium,yes,small-medium,no,accuracy; macro F1; ROC-AUC / PR-AUC
KNeighborsRegressor,sklearn.neighbors.KNeighborsRegressor,Predicts from the average of the nearest training targets.,local nonlinear regression with enough nearby data,nonlinear,continuous,medium,yes,small-medium,no,RMSE; MAE; R²
NearestCentroid,sklearn.neighbors.NearestCentroid,Assigns each sample to the closest class centroid.,fast interpretable classification when classes cluster around centroids,nonlinear,binary / multiclass,high,limited,all,no,accuracy; macro F1; ROC-AUC / PR-AUC
RadiusNeighborsClassifier,sklearn.neighbors.RadiusNeighborsClassifier,Classifies from training points that fall within a fixed radius.,uneven-density neighbor classification with natural distance cutoffs,nonlinear,binary / multiclass,medium,yes,small-medium,no,accuracy; macro F1; ROC-AUC / PR-AUC
RadiusNeighborsRegressor,sklearn.neighbors.RadiusNeighborsRegressor,Predicts from targets within a fixed neighborhood radius.,uneven-density neighbor regression with natural distance cutoffs,nonlinear,continuous,medium,yes,small-medium,no,RMSE; MAE; R²
GaussianProcessClassifier,sklearn.gaussian_process.GaussianProcessClassifier,Bayesian kernel classifier placing a Gaussian-process prior over latent functions.,small datasets where calibrated nonlinear uncertainty matters,nonlinear,binary / multiclass,low,yes,small-medium,somewhat,accuracy; macro F1; ROC-AUC / PR-AUC
GaussianProcessRegressor,sklearn.gaussian_process.GaussianProcessRegressor,Bayesian kernel regressor that returns both predictions and uncertainty.,small datasets needing uncertainty estimates and smooth fits,nonlinear,continuous,low,yes,small-medium,somewhat,RMSE; MAE; R²
CCA,sklearn.cross_decomposition.CCA,Finds linear combinations of X and y that are maximally correlated.,studying linear associations between two multivariate sets,linear,continuous / multioutput,low,no,small-medium,no,RMSE; MAE; R²
PLSCanonical,sklearn.cross_decomposition.PLSCanonical,Finds paired latent components that maximize covariance between X and y blocks.,paired multivariate blocks with shared latent structure,linear,continuous / multioutput,low,no,small-medium,no,RMSE; MAE; R²
PLSRegression,sklearn.cross_decomposition.PLSRegression,Projects X and y onto shared latent components before regression.,many correlated predictors; small-n large-p regression,linear,continuous / multioutput,high,no,small-medium,no,RMSE; MAE; R²
BernoulliNB,sklearn.naive_bayes.BernoulliNB,Naive Bayes for binary indicator features using Bernoulli likelihoods.,binary or presence/absence text features,nonlinear,binary / multiclass,medium,limited,all / large-friendly,somewhat,accuracy; macro F1; ROC-AUC / PR-AUC
CategoricalNB,sklearn.naive_bayes.CategoricalNB,Naive Bayes for discrete categorical features.,purely categorical/discrete feature classification,nonlinear,binary / multiclass,medium,limited,all / large-friendly,somewhat,accuracy; macro F1; ROC-AUC / PR-AUC
ComplementNB,sklearn.naive_bayes.ComplementNB,Multinomial-style Naive Bayes adjusted for imbalanced text data.,imbalanced text classification with count features,nonlinear,binary / multiclass,medium,limited,all / large-friendly,somewhat,accuracy; macro F1; ROC-AUC / PR-AUC
GaussianNB,sklearn.naive_bayes.GaussianNB,Naive Bayes classifier with Gaussian feature likelihoods.,simple fast probabilistic baseline for continuous features,nonlinear,binary / multiclass,medium,limited,all / large-friendly,somewhat,accuracy; macro F1; ROC-AUC / PR-AUC
MultinomialNB,sklearn.naive_bayes.MultinomialNB,Naive Bayes for count-like features using multinomial likelihoods.,text and count-data classification,nonlinear,binary / multiclass,medium,limited,all / large-friendly,somewhat,accuracy; macro F1; ROC-AUC / PR-AUC
DecisionTreeClassifier,sklearn.tree.DecisionTreeClassifier,Recursively splits features into class-pure regions.,easy-to-explain nonlinear rules and interaction discovery,nonlinear,binary / multiclass,high,yes,all,yes,accuracy; macro F1; ROC-AUC / PR-AUC
DecisionTreeRegressor,sklearn.tree.DecisionTreeRegressor,Recursively splits features into regions with similar target values.,easy-to-explain nonlinear regression rules,nonlinear,continuous,high,yes,all,yes,RMSE; MAE; R²
ExtraTreeClassifier,sklearn.tree.ExtraTreeClassifier,Single extremely randomized tree using random split thresholds.,very fast single-tree baseline with randomized splits,nonlinear,binary / multiclass,high,yes,all,yes,accuracy; macro F1; ROC-AUC / PR-AUC
ExtraTreeRegressor,sklearn.tree.ExtraTreeRegressor,Single extremely randomized regression tree.,very fast randomized single-tree baseline,nonlinear,continuous,high,yes,all,yes,RMSE; MAE; R²
AdaBoostClassifier,sklearn.ensemble.AdaBoostClassifier,Sequentially reweights samples so later weak learners focus on hard cases.,boosting shallow weak learners on moderate-size data,nonlinear,binary / multiclass,medium,yes,all,yes,accuracy; macro F1; ROC-AUC / PR-AUC
AdaBoostRegressor,sklearn.ensemble.AdaBoostRegressor,Sequentially fits weak regressors with greater focus on hard-to-predict points.,boosting weak regressors on moderate-size data,nonlinear,continuous,medium,yes,all,yes,RMSE; MAE; R²
BaggingClassifier,sklearn.ensemble.BaggingClassifier,Fits many versions of a base classifier on resampled data and aggregates them.,variance reduction for unstable base classifiers,depends,binary / multiclass,medium,depends,depends,somewhat,accuracy; macro F1; ROC-AUC / PR-AUC
BaggingRegressor,sklearn.ensemble.BaggingRegressor,Fits many versions of a base regressor on resampled data and averages them.,variance reduction for unstable base regressors,depends,continuous,medium,depends,depends,somewhat,RMSE; MAE; R²
ExtraTreesClassifier,sklearn.ensemble.ExtraTreesClassifier,Averages many highly randomized trees to reduce variance.,fast strong tabular classification when extra randomness helps,nonlinear,binary / multiclass,medium,yes,all,yes,accuracy; macro F1; ROC-AUC / PR-AUC
ExtraTreesRegressor,sklearn.ensemble.ExtraTreesRegressor,Averages many highly randomized regression trees.,fast strong tabular regression when extra randomness helps,nonlinear,continuous,medium,yes,all,yes,RMSE; MAE; R²
GradientBoostingClassifier,sklearn.ensemble.GradientBoostingClassifier,Builds trees sequentially to correct prior classification errors.,high-accuracy tabular classification on moderate-size datasets,nonlinear,binary / multiclass,medium,yes,all,somewhat,accuracy; macro F1; ROC-AUC / PR-AUC
GradientBoostingRegressor,sklearn.ensemble.GradientBoostingRegressor,Builds trees sequentially to fit residual errors.,high-accuracy tabular regression on moderate-size datasets,nonlinear,continuous,medium,yes,all,somewhat,RMSE; MAE; R²
HistGradientBoostingClassifier,sklearn.ensemble.HistGradientBoostingClassifier,Histogram-based gradient boosting for faster tree boosting on larger data.,large tabular classification with strong predictive performance,nonlinear,binary / multiclass,medium,yes,medium-large,somewhat,accuracy; macro F1; ROC-AUC / PR-AUC
HistGradientBoostingRegressor,sklearn.ensemble.HistGradientBoostingRegressor,Histogram-based gradient boosting for faster regression boosting.,large tabular regression with strong predictive performance,nonlinear,continuous,medium,yes,medium-large,somewhat,RMSE; MAE; R²
RandomForestClassifier,sklearn.ensemble.RandomForestClassifier,Averages many bootstrap-trained trees with random feature subsets.,strong default for tabular classification with little tuning,nonlinear,binary / multiclass,medium,yes,all,yes,accuracy; macro F1; ROC-AUC / PR-AUC
RandomForestRegressor,sklearn.ensemble.RandomForestRegressor,Averages many bootstrap-trained regression trees.,strong default for tabular regression with little tuning,nonlinear,continuous,medium,yes,all,yes,RMSE; MAE; R²
StackingClassifier,sklearn.ensemble.StackingClassifier,Learns a meta-model on top of predictions from base classifiers.,blending complementary classifiers for higher accuracy,depends,binary / multiclass,depends,depends,depends,depends,accuracy; macro F1; ROC-AUC / PR-AUC
StackingRegressor,sklearn.ensemble.StackingRegressor,Learns a meta-model on top of predictions from base regressors.,blending complementary regressors for higher accuracy,depends,continuous,depends,depends,depends,depends,RMSE; MAE; R²
VotingClassifier,sklearn.ensemble.VotingClassifier,Combines several fitted classifiers by hard or soft voting.,simple ensembles of several decent classifiers,depends,binary / multiclass,depends,depends,depends,depends,accuracy; macro F1; ROC-AUC / PR-AUC
VotingRegressor,sklearn.ensemble.VotingRegressor,Combines several regressors by averaging their predictions.,simple ensembles of several decent regressors,depends,continuous,depends,depends,depends,depends,RMSE; MAE; R²
ClassifierChain,sklearn.multioutput.ClassifierChain,"Fits a chain of classifiers, passing earlier predictions to later ones.",multilabel problems where labels depend on each other,depends,multilabel / multioutput,depends,depends,depends,depends,micro/macro F1; Hamming loss; subset accuracy
MultiOutputClassifier,sklearn.multioutput.MultiOutputClassifier,Fits one classifier per target output.,predicting several labels via separate classifiers,depends,multilabel / multioutput,depends,depends,depends,depends,micro/macro F1; Hamming loss; subset accuracy
MultiOutputRegressor,sklearn.multioutput.MultiOutputRegressor,Fits one regressor per target output.,predicting several continuous outputs via separate regressors,depends,continuous / multioutput,depends,depends,depends,depends,RMSE; MAE; R²
OneVsOneClassifier,sklearn.multiclass.OneVsOneClassifier,Fits one binary classifier for every pair of classes.,multiclass problems with strong binary base learners such as SVMs,depends,multiclass / multilabel wrapper,depends,depends,depends,depends,accuracy; macro F1; ROC-AUC (OvR) when supported
OneVsRestClassifier,sklearn.multiclass.OneVsRestClassifier,Fits one binary classifier per class versus all other classes.,extending binary classifiers to multiclass or multilabel tasks,depends,multiclass / multilabel wrapper,depends,depends,depends,depends,accuracy; macro F1; ROC-AUC (OvR) when supported
OutputCodeClassifier,sklearn.multiclass.OutputCodeClassifier,Combines several binary classifiers using an error-correcting-code design.,robust multiclass reduction using multiple binary problems,depends,multiclass / multilabel wrapper,depends,depends,depends,depends,accuracy; macro F1; ROC-AUC (OvR) when supported
RegressorChain,sklearn.multioutput.RegressorChain,"Fits a chain of regressors, passing earlier predictions to later ones.",multioutput regression where outputs depend on each other,depends,binary / multiclass,depends,depends,depends,depends,accuracy; macro F1; ROC-AUC / PR-AUC
LabelPropagation,sklearn.semi_supervised.LabelPropagation,Semi-supervised classifier that propagates labels through a similarity graph.,semi-supervised classification with graph-based local smoothness,nonlinear,binary / multiclass,depends,yes,all,no,accuracy; macro F1; ROC-AUC / PR-AUC
LabelSpreading,sklearn.semi_supervised.LabelSpreading,Regularized label-propagation classifier on a similarity graph.,semi-supervised graph classification with more regularization,nonlinear,binary / multiclass,depends,yes,all,no,accuracy; macro F1; ROC-AUC / PR-AUC
SelfTrainingClassifier,sklearn.semi_supervised.SelfTrainingClassifier,Wraps a classifier and iteratively pseudo-labels unlabeled points.,semi-supervised classification when a base classifier is reliable on high-confidence cases,depends,binary / multiclass,depends,depends,depends,depends,accuracy; macro F1; ROC-AUC / PR-AUC
IsotonicRegression,sklearn.isotonic.IsotonicRegression,Fits a monotonic piecewise-constant function subject to an order constraint.,one-dimensional monotonic calibration or monotonic response curves,nonlinear,binary / multiclass,medium,yes,small-medium,no,accuracy; macro F1; ROC-AUC / PR-AUC
CalibratedClassifierCV,sklearn.calibration.CalibratedClassifierCV,Learns a probability-calibration map on top of a base classifier.,probability calibration for classifiers whose raw scores are poorly calibrated,depends,binary / multiclass,medium,depends,depends,somewhat,accuracy; macro F1; ROC-AUC / PR-AUC
MLPClassifier,sklearn.neural_network.MLPClassifier,Feed-forward neural-network classifier trained by backpropagation.,flexible nonlinear classification with enough data and tuning,nonlinear,binary / multiclass,low,yes,medium-large,no,accuracy; macro F1; ROC-AUC / PR-AUC
MLPRegressor,sklearn.neural_network.MLPRegressor,Feed-forward neural-network regressor trained by backpropagation.,flexible nonlinear regression with enough data and tuning,nonlinear,continuous,low,yes,medium-large,no,RMSE; MAE; R²
DummyClassifier,sklearn.dummy.DummyClassifier,Baseline classifier using trivial strategies such as most-frequent or stratified predictions.,baseline comparison for classification experiments,baseline,binary / multiclass,high,no,all,no,accuracy; macro F1; ROC-AUC / PR-AUC
DummyRegressor,sklearn.dummy.DummyRegressor,Baseline regressor using trivial strategies such as mean or median prediction.,baseline comparison for regression experiments,baseline,continuous,high,no,all,no,RMSE; MAE; R²
