x,ARDRegression,AdaBoostRegressor,BaggingRegressor,BayesianRidge,CCA,DecisionTreeRegressor,DummyRegressor,ElasticNet,ElasticNetCV,ExtraTreeRegressor,ExtraTreesRegressor,GammaRegressor,GaussianProcessRegressor,GradientBoostingRegressor,HistGradientBoostingRegressor,HuberRegressor,IsotonicRegression,KNeighborsRegressor,KernelRidge,Lars,LarsCV,Lasso,LassoCV,LassoLars,LassoLarsCV,LassoLarsIC,LinearRegression,LinearSVR,MLPRegressor,MultiTaskElasticNet,MultiTaskElasticNetCV,MultiTaskLasso,MultiTaskLassoCV,NuSVR,OrthogonalMatchingPursuit,OrthogonalMatchingPursuitCV,PLSCanonical,PLSRegression,PassiveAggressiveRegressor,PoissonRegressor,QuantileRegressor,RANSACRegressor,RadiusNeighborsRegressor,RandomForestRegressor,Ridge,RidgeCV,SGDRegressor,SVR,TheilSenRegressor,TransformedTargetRegressor,TweedieRegressor
1,8.760107184229817,10.344814898575589,8.75156843995766,8.760107184229815,,8.824106925879997,9.458241552069165,9.248226397349496,8.732082654705529,8.824106925879992,8.824106925879985,,8.823917989738167,8.824102680221687,8.778933561966804,7.986613911236697,8.775040168830033,12.517026484965607,18.558551948632964,8.759532066744706,8.759532066744706,8.948488372856866,8.733715301348075,8.948488372856866,8.759532066744706,8.759532066744706,8.759532066744706,9.169272649774431,59.48528360309289,,,,,8.134066678626164,8.759532066744706,,,,11.35422919151188,8.747822484134167,,8.49747462660902,9.45824155206917,8.79932778649879,8.756666619628987,8.756666619628973,8.789112152973312,7.968997925490913,11.224054914931873,8.759532066744706,9.29206722857094
2,8.61734384670712,10.146913300691633,8.680473856657226,8.612814741646677,,8.724586154894087,9.458241552069165,9.195332785955497,8.600734486066289,8.72458615489408,8.718331679303692,,8.748611006863056,8.729489172294034,8.655423212986687,7.8137888617428235,,11.272733443417298,12.956365794691019,8.609620474260861,8.609620474260861,8.947506137096303,8.590183234335466,8.94750625185615,8.609620474260861,8.609620474260861,8.609620474260861,9.014680144387611,43.86626122542104,,,,,7.942265849523284,8.759532066744704,8.609620474260863,,8.609620474260861,9.070582362676866,8.594373113074559,,8.74781771360423,8.966648045389244,8.671640542791371,8.606796972228441,8.657096451594427,8.658656257472789,7.760666847610151,10.924551728332588,8.609620474260861,9.229262607331258
3,8.50882297540678,10.16859462268738,8.423731335132569,8.486116321109614,,8.459169827322345,9.458241552069165,9.135984622755277,8.465009574804544,8.482361268225436,8.448608502498317,,8.515374396194375,8.457248950196988,8.390324549523255,7.755872357457191,,9.6061362660037,11.666872099750844,8.493032860476134,8.456732403927413,8.923214664237177,8.475702012902012,8.92321632503691,8.456732403927413,8.493032860476134,8.493032860476134,8.909427334623576,25.720336888259947,,,,,7.914851119645017,8.759532066744704,8.537184476129543,,8.491107401433172,8.534304940398705,8.468959120143158,,8.802859904531736,8.745679477810766,8.402024797300538,8.484360831723427,8.475539536549224,8.59626648166421,7.754113702892267,10.650693934703622,8.493032860476134,9.16871386943519
4,8.287724823850025,10.000673466337373,8.102424067645932,8.261280484450566,,8.329920991349987,9.458241552069165,9.080069381196669,8.248035175364866,8.430528078173738,8.318939046380269,,8.403316693134204,8.379797526016112,8.073647862617921,7.633783246044946,,8.601455163823577,10.03324020924926,8.259769016286828,8.238683609036235,8.91562937944393,8.272463319949168,8.915628679849169,8.238683609036235,8.259769016286828,8.25976901628683,8.30744745551595,19.61389033019749,,,,,7.765589682199424,8.759532066744706,8.285970922208405,,8.242230678297126,8.029994024251991,8.21498924747588,,7.766862331201418,8.436508045364032,8.277467485543344,8.254121645629942,8.26861159555198,8.368156746328612,7.630931660539095,9.69485696723756,8.25976901628683,9.107478575733271
5,7.963705944877402,9.352938170899849,8.019110974606239,7.944014869554335,,8.091469556978698,9.458241552069165,9.025474953754909,7.956638710996894,8.146782051812433,7.977533182800018,,8.307124349851046,7.972407490795507,7.770600874752614,7.3565877136361575,,8.163571361338523,9.131446422664098,7.934755438014159,8.026419800120518,8.896993057893116,7.994815411583088,8.896992979872355,8.026419800120518,7.934755438014159,7.934755438014162,7.87356213476221,14.154675164815554,,,,,7.65365530633068,8.759532066744706,7.957966220224728,,7.911692903162603,7.924584364257159,7.901913397216203,,7.7051854330630025,,7.9185974447510175,7.934374119473411,7.973235139382555,7.977172478643129,7.497595706739188,8.837164123329925,7.934755438014162,9.049099705678998
6,7.747483202420736,9.263886701866367,7.7652611160086975,7.742391660124966,,8.075949769394999,9.458241552069165,9.008812884172226,7.778746702918495,8.038671562348338,7.954729334467094,,115.60019789900335,7.830540169320821,7.463248515626839,7.187631287345764,,7.766812867042049,8.63794605132313,7.729927962892279,7.785037684529259,8.896993057893116,7.7845515449840335,8.896992979872355,7.785037684529259,7.729927962892279,7.729927962892278,7.517671902629433,11.216276216615707,,,,,7.607381838423033,8.759532066744706,7.736768301679487,,7.711808949859543,8.789371766071167,7.720583705344865,,8.373786479616232,,7.714570750940598,7.732840676385321,7.777103695368763,7.826527085273854,7.438814639056638,8.34008294461964,7.729927962892278,9.017625769777299
7,7.1551264223517235,9.331122085154893,7.362581348735128,7.116181233560885,,7.8794313491755,9.458241552069165,8.83626699451869,7.131642489077031,8.090747949898264,7.79346054976372,,113.8799681037146,7.5905772211122855,7.081069859933741,6.66103985687228,,7.315877084646404,7.954655841417008,7.120032390543034,7.177707633737637,8.411426637996927,7.148275557166822,8.411427055821903,7.177707633737637,7.120032390543034,7.120032390543034,6.9756361481579345,8.84290731228664,,,,,7.23407412013449,8.651462583048438,7.450468268518809,,7.091644738306864,8.049345286534482,7.091622180564199,,7.1063300463543,,7.3770857736368,7.1154900192268205,7.156563622022898,7.260053430599906,7.1325918446858605,7.64510382666146,7.120032390543034,8.875472670267552
8,6.96088379378309,9.292071260802668,7.621207107378508,6.936154781499913,,8.001405674362545,9.458241552069165,8.796626343181149,6.922098360801003,7.99862648477603,7.5319632111522905,,65.84501642680372,7.3216924650138875,6.871315888589999,6.471803178080245,,7.124770043611525,7.612407975958274,6.9538459153717564,6.991685503531913,8.407584515197348,6.960305761806623,8.40758508174478,6.991685503531913,6.9840974206502535,6.953845915371756,6.760887613663482,7.862947469273644,,,,,7.128378681214206,8.651462583048438,7.262605108677126,,6.906109885585609,8.864088930320017,6.921698384324071,,6.994367756990331,,7.181194750721865,6.9409084901698375,6.957848276101447,7.112370351983563,6.989142873309677,7.296498013433222,6.953845915371756,8.825251350114538
9,6.785818525121394,8.566195162670107,7.17722788258431,6.746234725443946,,7.790708446500278,9.458241552069165,8.760902172058737,6.735869287116074,8.071281327151686,7.251163255059987,,25.197867634831855,6.726170633271441,6.664330421126948,6.354400449014387,,7.0111896080678,7.2077592522860865,6.7572518986638785,6.791359034224529,8.391609452912446,6.787863655495016,8.391609783575849,6.791359034224529,6.7572518986638785,6.757251898663879,6.473599819090485,7.43434284133493,,,,,7.099914663945588,8.651462583048438,7.378527860769883,,6.679417208959128,8.451829539801897,6.749016428510302,,6.971115251850843,,6.916444631026169,6.7475015150964195,6.742305510150149,6.815993262408101,6.986686310206975,6.981009395639458,6.757251898663879,8.783495588926375
10,6.590495035229829,11.491230232694303,6.673538484209288,6.541930270091607,,8.153033842655976,9.458241552069165,8.54433472196589,6.547349629695207,7.347883311426318,6.744995714278751,,86.3672752001615,6.742804589358714,6.4373578135195375,6.162845507999399,,6.63915168480735,6.904319751787577,6.555392204332875,6.582339986359157,8.02661523612423,6.582633303023082,8.026615674570232,6.582339986359157,6.553660354483229,6.555392204332877,6.234267483553003,6.838753063881493,,,,,6.979004573100207,8.422457729326325,7.331066619019287,,6.460465340354382,8.312611784225059,6.5142926179465235,,6.76401872436445,,6.675593938367831,6.5439157015359,6.5325032990915615,6.49750108202962,6.817839304083234,6.6729375043959696,6.555392204332877,8.603690353151105
11,6.391549975550232,9.395934858086589,6.463480185456477,6.327420667819908,,7.317842598189394,9.458241552069165,8.480285023727449,6.332483983069244,7.344733801429574,6.528227494289711,,76.7508867354209,6.266500116854789,6.251303191230099,6.022394286122568,,6.51718299149775,6.5157966169159165,6.342448776563115,6.382667522068593,7.926591614889846,6.395100847617786,7.926593339072757,6.382667522068593,6.351351313550373,6.342448776563119,5.977497227376747,6.435019809119574,,,,,6.872747770625222,8.422457729326325,6.969357836284914,,6.243820204017264,9.348576473644503,6.30684814008493,,7.196911506929476,,6.277355283327421,6.3282910352829465,6.312552021211732,6.294700240301901,6.703095903559354,6.348857733549283,6.342448776563119,8.542065947455798
12,6.1990666695274275,9.500438164273202,6.349073165839487,6.1410061186372555,,7.154766975040204,9.458241552069165,8.442346462525759,6.14170427773,7.228968839926173,6.426998983126519,,146.33091791442675,6.180481220745579,5.9669719882010295,5.86646202071457,,6.559836678803069,6.229237132300491,6.152545189266838,6.158791856705975,7.926592779061373,6.170590215739909,7.926593339072755,6.158791856705975,6.152545189266838,6.152545189266839,5.826577431689791,6.096074130321624,,,,,6.786779250244957,8.422457729326325,6.923200960775048,,6.069607897012371,7.2080980682558415,6.156202406977003,,6.966916651539681,,6.199623687853598,6.142546318642809,6.138567996147335,5.9959850629393205,6.6320270869787965,6.163637464327365,6.152545189266839,8.497784477646475
13,5.978252886726037,9.390410395312015,5.966951488156072,5.897945886016895,,7.853532926614122,9.458241552069165,8.312737468176474,5.894777986764786,6.9528725400951075,6.104849504390205,,283.0042127313708,5.739823693508112,5.743864471888933,5.654402836920182,,6.490160821276595,5.971516877883741,5.907047087925337,5.909428492991971,7.74723472999887,5.917502119229831,7.74723691600577,5.909428492991971,5.907047087925337,5.907047087925334,5.661714227672658,5.812989880819012,,,,,6.67028325379801,8.592445755474767,6.547887772434583,,5.829265972564896,6.572400455686818,5.926287946687109,,6.633780525222416,,5.978779807130261,5.898359379892182,5.891693897522641,5.807853894959275,6.516267498082845,5.951364197335973,5.907047087925334,8.381024874172416
14,5.872277031796248,9.276666317391324,6.039698685232528,5.779352624044964,,7.564854522078784,9.458241552069165,8.264901183420108,5.760849171737559,7.202460437638737,6.076008219899055,,248.59312444064335,5.512808175120525,5.515579602357926,5.527139636952875,,6.5545078501327705,5.842668352421765,5.799526760840696,5.798800410465475,7.749164524666722,5.803144456361784,7.749169073275202,5.798800410465475,5.799526760840696,5.799526760840699,5.506960738467983,5.551970076298764,,,,,6.6914067730270785,8.592445755474767,6.547887772434583,,5.713563593824529,7.81622316497145,5.838869534736027,,6.262037319424566,,5.833992796197862,5.78524084104877,5.762973451722564,5.734479409678622,6.483708182832885,5.86541840721402,5.799526760840699,8.327647520580342
15,5.567626272836282,9.194240526250468,6.017382045715698,5.48654923526032,,7.284101317045243,9.458241552069165,8.217935954519277,5.488898452339861,6.753909454538771,5.89658076105327,,274.26121342811786,5.486697042737821,5.498715527925701,5.205656279505951,,6.287392990173283,5.565924416154781,5.502590036656175,5.501068217853046,7.7373172412705795,5.505037876179583,7.737319176746146,5.501068217853046,5.502590036656175,5.502590036656175,5.213235722950374,5.34731315437457,,,,,6.63514557482374,8.592445755474767,6.497642507349198,,5.4369534806423445,6.534816931543117,5.609464806024058,,5.941225140727927,,5.721352030840038,5.491544093237062,5.497471317219251,5.337755945065619,6.460787813632777,5.616678223032858,5.502590036656175,8.274027367425147
16,5.408297191239781,9.217910226916072,5.7942210620906565,5.350377817708161,,7.103312559966663,9.458241552069165,8.124607707900475,5.317915598967825,6.744597151295105,5.8802049974789865,,294.10345621533725,5.409883470258296,5.400999904662,5.062773083285011,,5.951607571866896,5.445450289493058,5.384624971753314,5.382845819281812,7.640440667073955,5.381188629002475,7.640440279547464,5.382845819281812,5.3787929128893595,5.384624971753315,5.0613710756088315,5.175196130577951,,,,,6.522594915048027,8.592445755474767,6.550646441824649,,5.314800123206344,6.546718697234333,5.481305722090033,,5.968604698118028,,5.5572312844006255,5.361966409862697,5.308289800646458,5.260302916118762,6.359778415593249,5.479758875212816,5.384624971753315,8.18484882717475
17,5.160800388873877,8.651125071982747,5.634523918962603,5.1141191015314735,,7.209804098977747,9.458241552069165,8.10033762279586,5.102058535900629,6.822707839577012,5.69857984834884,,233.77484804743796,5.322320575175159,5.149638099252794,4.823708630117733,,5.9384758217028875,5.128567317751849,5.135065298401387,5.1255722311658065,7.640440667073955,5.1244000177297035,7.640440279547464,5.1255722311658065,5.132718957066005,5.135065298401387,4.783365461369586,4.962613582861466,,,,,6.467072959358092,8.592445755474767,6.550646441824649,,5.086062462123445,7.660108922696116,5.27280162062029,,6.235416718624931,,5.4524291467929356,5.119415329598624,5.130535154367642,4.999106654093845,6.309189308445513,5.159875737255763,5.135065298401387,8.153017923787479
18,5.0274689872273495,8.404758212174732,5.519298764842032,4.9685520150976075,,7.162385553979931,9.458241552069165,8.005946967106198,4.938125899474345,6.732988465958741,5.689321534712359,,204.55731081460686,5.183175200724948,5.045635743206137,4.700106238177055,,5.788537822924331,4.976684020829226,5.000441152461052,4.99151766682513,7.5849934514459205,4.99122168104771,7.584990869908573,4.99151766682513,4.9898561166666315,5.000441152461052,4.647929919171782,4.738789143873724,,,,,6.3470942415213445,8.592445755474767,6.697378328646797,,4.964120968157861,6.991452997905448,5.1234101700674035,,6.567734912589685,,5.309075096795715,4.978780213308849,4.945115333872812,4.920861238845475,6.226589730283287,4.975463317288348,5.000441152461052,8.056264846041518
19,4.857736159867573,7.600254612852939,5.325308893872678,4.783032631956426,,7.536835438911811,9.458241552069165,7.948636252338486,4.752131318298281,6.973602032125318,5.393456778119276,,132.83651155110232,5.0336106355218195,4.958808153917398,4.512297861102178,,5.957815045903727,4.797171144294753,4.821103656942968,4.818230862294064,7.571601963703662,4.814542630515932,7.571603457735809,4.818230862294064,4.821103656942968,4.821103656942969,4.470277502462865,4.589484959442034,,,,,6.3093560864588225,8.592445755474767,6.697378328646797,,4.795860333813907,4.6040042302132305,4.967727441741301,,6.135249191754964,,5.111430487594867,4.795773832386013,4.775122462412876,4.6207671087558655,6.172146366390113,4.801136252636668,4.821103656942969,7.994009000719461
20,4.476910641600584,7.196226729840504,5.210064293504837,4.4063815644070345,,6.190075033697854,9.458241552069165,7.724428269481612,4.383607031897319,6.761331940083361,5.3881409990627676,,118.30239217656154,4.678514776328509,4.579482705284423,4.124070755323457,,5.718400211123209,4.386757721276507,4.428530658763803,4.442218278972569,7.081694440428514,4.439227352138487,7.081684752418274,4.442218278972569,4.428530658763803,4.428530658763803,4.12924492731341,4.252049547619137,,,,,6.075890846417399,7.370770109599414,6.257878076654128,,4.435585305189936,5.77939251563199,4.616609057941226,,4.850890190794725,,4.9673102075354665,4.412725290553115,4.379039512238883,4.218180001128469,5.960289651731673,4.404933781810958,4.428530658763803,7.810727498695859
21,4.332720595365656,6.8746850338033045,4.914591323881296,4.2564320096767565,,6.413743111112694,9.458241552069165,7.478913563664918,4.22434369328353,6.998132738048665,5.457355768612088,,119.84023306732895,4.652787871213207,4.509530046253301,3.9101626481539107,,5.484428436970278,4.252282212682151,4.282717948357007,4.282717948357007,6.811397805790868,4.282721350725608,6.811381727092034,4.282717948357007,4.282717948357007,4.282717948357005,3.864209446302371,3.9686205514620974,,,,,5.818862326941831,7.809824846407952,6.3621409993274645,,4.282458260651574,5.442591250613673,4.468055731094399,,4.6395201581602095,,4.871734643420291,4.265077558469377,4.206910213290525,4.158754525257882,5.6994748202729335,4.213164350887081,4.282717948357005,7.592077959978224
22,4.194552088806921,6.765955815030317,5.157889683698626,4.123523157618484,,6.725663495621151,9.458241552069165,7.345089846552126,4.082852900851959,6.500962653449056,5.304294771963351,,110.88015243026598,4.541971606073124,4.495231757025301,3.6948330710252124,,5.565402999012148,4.127596608763466,4.150186484443629,4.150186484443629,6.752813303817959,4.149786335666842,6.752807168843036,4.150186484443629,4.150186484443629,4.15018648444363,3.7080343012599295,3.8805843852874853,,,,,5.707504713180302,7.809824846407953,6.362140999327465,,4.119475480620865,5.453451863706678,4.373468618232151,,4.317777718618937,,4.7791663544529985,4.133173087718265,4.0651006645115935,4.040511063498262,5.625118812895915,4.116427324937744,4.15018648444363,7.460706754157845
23,4.041053149538799,6.847297758485537,4.930864477178921,3.9761943855191944,,6.601998535923876,9.458241552069165,7.285519320967735,3.934518437142472,6.835672943384358,5.258441960441093,,105.0679950746957,4.267000611112328,4.320400870003842,3.549661639332946,,5.6713142588489465,3.982529699694382,4.003776698341179,4.003776698341179,6.709121530993997,4.003133648964515,6.709110109208764,4.003776698341179,4.003776698341179,4.003776698341179,3.561128702150423,3.7373527462843428,,,,,5.692825654266709,7.809824846407953,6.362140999327465,,3.9614057811543852,4.114198989017878,4.244981606915884,,4.311489179443278,,4.610309468598105,3.9873314579192325,3.913135768446226,3.8989037814785696,5.5932423967161045,4.026118749321746,4.003776698341179,7.392256568542328
24,3.912354827680096,6.555360348533955,4.866619169953436,3.8369461794518394,,6.57160395193154,9.458241552069165,7.206720098560605,3.785441726448899,6.6962968550107975,5.153456322287991,,80.67445055667034,4.300389466197045,4.276005432177188,3.329534848637317,,5.648884666947351,3.822246873276994,3.8688401922059654,3.8688401922059654,6.67084816858348,3.8681277584855067,6.6708368551296955,3.8688401922059654,3.8688401922059654,3.868840192205964,3.3151282869015852,3.6176261185363927,,,,,5.654243865809868,7.809824846407952,6.38395107683025,,3.802822710213083,4.828850732571651,4.133563016179921,,7.933976167251203,,4.479645814036019,3.84886333835533,3.7754958684963613,3.780602347994731,5.553553543568609,3.838101549052781,3.868840192205964,7.311084914583246
25,3.7844757016170396,6.33883761815496,4.473283728663319,3.695034961055112,,6.5177173692426935,9.458241552069165,7.164251414423061,3.6614734671680464,6.567748964576609,5.103991663412404,,81.90440583674857,4.278844143458523,4.254835305188334,3.0749400722929425,,5.607506648432452,3.6744207840885634,3.728186692801979,3.727443891062157,6.668809637892449,3.727445149154815,6.668795744380995,3.727443891062157,3.728186692801979,3.728186692801971,3.027627430222447,3.466089993258957,,,,,5.65361583093988,7.809824846407952,6.4546430799138745,,3.6553618748637744,4.107973909511253,4.031245607432827,,3.7110331402156724,,4.380969964243269,3.7067256152095807,3.633380884137489,3.5827172062175476,5.4768537821520225,3.7107273738657938,3.728186692801971,7.261564961743039
